Distrito,Concelhos
Terceira(Grupo Central),Angra do Heroísmo
São Jorge(Grupo Central),Calheta
Corvo(Grupo Ocidental),Corvo
Faial(Grupo Central),Horta
São Miguel(Grupo Oriental),Lagoa
Flores(Grupo Ocidental),Lajes das Flores
Pico(Grupo Central),Lajes do Pico
Pico(Grupo Central),Madalena
São Miguel(Grupo Oriental),Nordeste
São Miguel(Grupo Oriental),Ponta Delgada
São Miguel(Grupo Oriental),Povoação
Terceira(Grupo Central),Praia da Vitória
São Miguel(Grupo Oriental),Ribeira Grande
Graciosa(Grupo Central),Santa Cruz da Graciosa
Flores(Grupo Ocidental),Santa Cruz das Flores
Pico(Grupo Central),São Roque do Pico
São Jorge(Grupo Central),Velas
Santa Maria(Grupo Oriental),Vila do Porto
São Miguel(Grupo Oriental),Vila Franca do Campo
