Distrito,Concelhos
Viana do Castelo,Arcos de Valdevez
Viana do Castelo,Caminha
Viana do Castelo,Melgaço
Viana do Castelo,Monção
Viana do Castelo,Paredes de Coura
Viana do Castelo,Ponte da Barca
Viana do Castelo,Ponte de Lima
Viana do Castelo,Valença
Viana do Castelo,Viana do Castelo
Viana do Castelo,Vila Nova de Cerveira
Braga,Amares
Braga,Barcelos
Braga,Braga
Braga,Esposende
Braga,Terras de Bouro
Braga,Vila Verde
Braga,Cabeceiras de Basto
Braga,Fafe
Braga,Guimarães
Vila Real,Mondim de Basto
Braga,Póvoa de Lanhoso
Braga,Vieira do Minho
Braga,Vila Nova de Famalicão
Braga,Vizela
Aveiro,Arouca
Aveiro,Espinho
Porto,Gondomar
Porto,Maia
Porto,Matosinhos
Aveiro,Oliveira de Azeméis
Porto,Paredes
Porto,Porto
Porto,Póvoa de Varzim
Aveiro,Santa Maria da Feira
Porto,Santo Tirso
Aveiro,São João da Madeira
Porto,Trofa
Aveiro,Vale de Cambra
Porto,Valongo
Porto,Vila do Conde
Porto,Vila Nova de Gaia
Porto,Amarante
Porto,Baião
Aveiro,Castelo de Paiva
Braga,Celorico de Basto
Viseu,Cinfães
Porto,Felgueiras
Porto,Lousada
Porto,Marco de Canaveses
Porto,Paços de Ferreira
Porto,Penafiel
Viseu,Resende
Vila Real,Boticas
Vila Real,Chaves
Vila Real,Montalegre
Vila Real,Ribeira de Pena
Vila Real,Valpaços
Vila Real,Vila Pouca de Aguiar
Vila Real,Alijó
Viseu,Armamar
Bragança,Carrazeda de Ansiães
Bragança,Freixo de Espada à Cinta
Viseu,Lamego
Vila Real,Mesão Frio
Viseu,Moimenta da Beira
Vila Real,Murça
Viseu,Penedono
Vila Real,Peso da Régua
Vila Real,Sabrosa
Vila Real,Santa Marta de Penaguião
Viseu,São João da Pesqueira
Viseu,Sernancelhe
Viseu,Tabuaço
Viseu,Tarouca
Bragança,Torre de Moncorvo
Guarda,Vila Nova de Foz Côa
Vila Real,Vila Real
Bragança,Alfândega da Fé
Bragança,Bragança
Bragança,Macedo de Cavaleiros
Bragança,Miranda do Douro
Bragança,Mirandela
Bragança,Mogadouro
Bragança,Vila Flor
Bragança,Vimioso
Bragança,Vinhais
Aveiro,Águeda
Aveiro,Albergaria-a-Velha
Aveiro,Anadia
Aveiro,Aveiro
Aveiro,Estarreja
Aveiro,Ílhavo
Aveiro,Murtosa
Aveiro,Oliveira do Bairro
Aveiro,Ovar
Aveiro,Sever do Vouga
Aveiro,Vagos
Coimbra,Arganil
Coimbra,Cantanhede
Coimbra,Coimbra
Coimbra,Condeixa-a-Nova
Coimbra,Figueira da Foz
Coimbra,Góis
Coimbra,Lousã
Aveiro,Mealhada
Coimbra,Mira
Coimbra,Miranda do Corvo
Coimbra,Montemor-o-Velho
Viseu,Mortágua
Coimbra,Oliveira do Hospital
Coimbra,Pampilhosa da Serra
Coimbra,Penacova
Coimbra,Penela
Coimbra,Soure
Coimbra,Tábua
Coimbra,Vila Nova de Poiares
Leiria,Batalha
Leiria,Leiria
Leiria,Marinha Grande
Leiria,Pombal
Leiria,Porto de Mós
Leiria,Alvaiázere
Leiria,Ansião
Leiria,Castanheira de Pera
Leiria,Figueiró dos Vinhos
Leiria,Pedrógão Grande
Guarda,Aguiar da Beira
Viseu,Carregal do Sal
Viseu,Castro Daire
Viseu,Mangualde
Viseu,Nelas
Viseu,Oliveira de Frades
Viseu,Penalva do Castelo
Viseu,Santa Comba Dão
Viseu,São Pedro do Sul
Viseu,Sátão
Viseu,Tondela
Viseu,Vila Nova de Paiva
Viseu,Viseu
Viseu,Vouzela
Guarda,Almeida
Castelo Branco,Belmonte
Guarda,Celorico da Beira
Castelo Branco,Covilhã
Guarda,Figueira de Castelo Rodrigo
Guarda,Fornos de Algodres
Castelo Branco,Fundão
Guarda,Gouveia
Guarda,Guarda
Guarda,Manteigas
Guarda,Mêda
Guarda,Pinhel
Guarda,Sabugal
Guarda,Seia
Guarda,Trancoso
Castelo Branco,Castelo Branco
